"~start_node_id","~start_node_labels","~start_node_property_name","~start_node_property_attributes","~start_node_property_id","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_name","~end_node_property_id","~end_node_property_desc","~start_node_property_desc","~end_node_property_gloss","~start_node_property_gloss","~start_node_property_classes","~end_node_property_attributes","~end_node_property_kind"
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:230","elementSpec","pause",,"pause","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['marks a pause either between or within utterances.']",,"['pause']","['att.global','att.ascribed.directed','att.cmc','att.timed','att.typed','model.global.spoken']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:231","elementSpec","vocal",,"vocal","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['marks any vocalized but not necessarily lexical phenomenon','for example voiced pauses','non-lexical backchannels','etc.']",,"['vocal']","['att.global','att.ascribed.directed','att.cmc','att.timed','att.typed','model.global.spoken']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:232","elementSpec","kinesic",,"kinesic","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['marks any communicative phenomenon','not necessarily vocalized','for example a gesture','frown','etc.']",,"['kinesic']","['att.global','att.ascribed.directed','att.cmc','att.timed','att.typed','model.global.spoken']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:233","elementSpec","incident",,"incident","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['marks any phenomenon or occurrence','not necessarily vocalized or communicative','for example incidental noises or other events affecting communication.']",,"['incident']","['att.global','att.ascribed','att.cmc','att.timed','att.typed','model.global.spoken']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:235","elementSpec","shift",,"shift","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['marks the point at which some paralinguistic feature of a series of utterances by any one speaker changes.']",,"['shift']","['att.global','att.ascribed','att.cmc','model.global.spoken']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:236","elementSpec","annotationBlock",,"annotationBlock","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['groups together various annotations','e.g. for parallel interpretations of a spoken segment.']",,"[]","['att.global','att.ascribed','att.timed','model.annotationLike','model.divPart.spoken']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:237","elementSpec","post",,"post","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['a written (or spoken) contribution to a CMC interaction which has been composed (or recorded) by its author in its entirety before being transmitted over a network (e.g.','the internet) and made available on the monitor or screen of the other parties en bloc.']",,"[]","['att.global','att.ascribed','att.canonical','att.cmc','att.datable','att.docStatus','att.fragmentable','att.indentation','att.timed','att.typed','model.cmc']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:238","elementSpec","superEntry",,"superEntry","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['groups a sequence of entries within any kind of lexical resource','such as a dictionary or lexicon which function as a single unit','for example a set of homographs.']",,"['super entry']","['att.global','att.entryLike','att.sortable','model.entryLike','model.entryPart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:239","elementSpec","entry",,"entry","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains a single structured entry in any kind of lexical resource','such as a dictionary or lexicon.']",,"['entry']","['att.global','att.entryLike','att.sortable','model.entryLike','model.entryPart.top']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:240","elementSpec","entryFree",,"entryFree","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains a single unstructured entry in any kind of lexical resource','such as a dictionary or lexicon.']",,"['unstructured entry']","['att.global','att.entryLike','att.lexicographic','att.sortable','model.entryLike']","['xml:id','n','xml:base','xml:space']",
