"~id","~labels","gloss","name","id","desc","attributes","classes","kind"
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:12","elementSpec","['identifier']","idno","idno","['supplies any form of identifier used to identify some object','such as a bibliographic item','a person','a title','an organization','etc. in a standardized way.']",,"['att.global','att.cmc','att.datable','att.sortable','att.typed','model.msItemPart','model.nameLike','model.personPart','model.publicationStmtPart.detail']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:72","elementSpec","['paragraph']","p","p","['marks paragraphs in prose.']",,"['att.global','att.cmc','att.declaring','att.fragmentable','att.written','model.pLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:73","elementSpec","['foreign']","foreign","foreign","['identifies a word or phrase as belonging to some language other than that of the surrounding text.']",,"['att.global','att.cmc','model.emphLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:74","elementSpec","['emphasized']","emph","emph","['marks words or phrases which are stressed or emphasized for linguistic or rhetorical effect.']",,"['att.global','att.cmc','att.written','model.emphLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:75","elementSpec","[]","hi","hi","['bold typography']",,"[]",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:76","elementSpec","[]","distinct","distinct","['identifies any word or phrase which is regarded as linguistically distinct','for example as archaic','technical','dialectal','non-preferred','etc.','or as forming part of a sublanguage.']",,"['att.global','att.cmc','att.typed','model.emphLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:78","elementSpec","[]","quote","quote","[]",,"[]",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:79","elementSpec","['quoted']","q","q","['contains material which is distinguished from the surrounding text using quotation marks or a similar method','for any one of a variety of reasons including','but not limited to: direct speech or thought','technical terms or jargon','authorial distance','quotations from elsewhere','and passages that are mentioned but not used.']",,"['att.global','att.ascribed.directed','att.cmc','model.common','model.hiLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:81","elementSpec","[]","mentioned","mentioned","['marks words or phrases mentioned','not used.']",,"['att.global','att.cmc','model.emphLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:82","elementSpec","['so called']","soCalled","soCalled","['contains a word or phrase for which the author or narrator indicates a disclaiming of responsibility','for example by the use of scare quotes or italics.']",,"['att.global','att.cmc','model.emphLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:83","elementSpec","[]","desc","desc","['contains a short description of the purpose','function','or use of its parent element','or when the parent is a documentation element','describes or defines the object being documented.']",,"['att.global','att.cmc','att.translatable','att.typed','model.descLike','model.labelLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:86","elementSpec","['ruby container']","ruby","ruby","['contains a passage of base text along with its associated ruby gloss(es).']",,"['att.global','att.cmc','att.typed','model.phrase']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:90","elementSpec","['correction']","corr","corr","['contains the correct form of a passage apparently erroneous in the copy text.']",,"['att.global','att.cmc','att.editLike','att.typed','model.choicePart','model.pPart.transcriptional']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:91","elementSpec","[]","choice","choice","[]",,"[]",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:94","elementSpec","['gap']","gap","gap","['indicates a point where material has been omitted in a transcription','whether for editorial reasons described in the TEI header','as part of sampling practice','or because the material is illegible','invisible','or inaudible.']",,"['att.global','att.cmc','att.dimensions','att.editLike','att.timed','model.global.edit']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:96","elementSpec","['addition']","add","add","['contains letters','words','or phrases inserted in the source text by an author','scribe','or a previous annotator or corrector.']",,"['att.global','att.cmc','att.dimensions','att.transcriptional','att.typed','model.linePart','model.pPart.transcriptional']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:97","elementSpec","['deletion']","del","del","['contains a letter','word','or passage deleted','marked as deleted','or otherwise indicated as superfluous or spurious in the copy text by an author','scribe','or a previous annotator or corrector.']",,"['att.global','att.cmc','att.dimensions','att.transcriptional','att.typed','model.linePart','model.pPart.transcriptional']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:98","elementSpec","['unclear']","unclear","unclear","['contains a word','phrase','or passage which cannot be transcribed with certainty because it is illegible or inaudible in the source.']",,"['att.global','att.cmc','att.dimensions','att.editLike','model.choicePart','model.linePart','model.pPart.transcriptional']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:99","elementSpec","[]","name","name","[]",,"[]",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:100","elementSpec","['referencing string']","rs","rs","['contains a general purpose name or referring string.']",,"['att.global','att.cmc','att.naming','att.typed','model.nameLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:101","elementSpec","['electronic mail address']","email","email","['contains an email address identifying a location to which email messages can be delivered.']",,"['att.global','att.cmc','model.addressLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:102","elementSpec","['address']","address","address","['contains a postal address','for example of a publisher','an organization','or an individual.']",,"['att.global','att.cmc','model.addressLike','model.publicationStmtPart.detail']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:107","elementSpec","['number']","num","num","['contains a number','written in any form.']",,"['att.global','att.cmc','att.ranging','att.typed','model.measureLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:108","elementSpec","['measure']","measure","measure","['contains a word or phrase referring to some quantity of an object or commodity','usually comprising a number','a unit','and a commodity name.']",,"['att.global','att.cmc','att.measurement','att.ranging','att.typed','model.measureLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:109","elementSpec","['measure group']","measureGrp","measureGrp","['contains a group of dimensional specifications which relate to the same object','for example the height and width of a manuscript page.']",,"['att.global','att.cmc','att.measurement','att.typed','model.measureLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:110","elementSpec","[]","unit","unit","['contains a symbol','a word or a phrase referring to a unit of measurement in any kind of formal or informal system.']",,"['att.global','att.cmc','att.measurement','att.typed','model.measureLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:113","elementSpec","[]","abbr","abbr","[]",,"[]",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:114","elementSpec","['expansion']","expan","expan","['contains the expansion of an abbreviation.']",,"['att.global','att.cmc','att.editLike','model.choicePart','model.pPart.editorial']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:117","elementSpec","['list']","list","list","['contains any sequence of items organized as a list.']",,"['att.global','att.cmc','att.sortable','att.typed','model.listLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:119","elementSpec","['label']","label","label","['contains any label or heading used to identify part of a text','typically but not exclusively in a list or glossary.']",,"['att.global','att.cmc','att.placement','att.typed','att.written','model.labelLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:120","elementSpec","['heading']","head","head","['contains any type of heading','for example the title of a section','or the heading of a list','glossary','manuscript description','etc.']",,"['att.global','att.cmc','att.placement','att.typed','att.written','model.headLike','model.pLike.front']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:125","elementSpec","['index entry']","index","index","['marks a location to be indexed for whatever purpose.']",,"['att.global','att.cmc','att.spanning','model.global.meta']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:126","elementSpec","[]","media","media","['indicates the location of any form of external media such as an audio or video clip etc.']",,"['att.global','att.cmc','att.declaring','att.media','att.resourced','att.timed','att.typed','model.graphicLike','model.recordingPart']",
