"~id","~labels","name","chapterName","type","id","kind","gloss"
"4:13c24cab-0708-4375-8014-8513a8fd1335:182572","elementSpec","unihanProp",,,"unihanProp",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182573","elementSpec","unicodeProp",,,"unicodeProp",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182574","elementSpec","metDecl",,,"metDecl",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182575","elementSpec","metSym",,,"metSym",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182576","elementSpec","caesura",,,"caesura",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182577","elementSpec","rhyme",,,"rhyme",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182578","elementSpec","set",,,"set",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182579","elementSpec","prologue",,,"prologue",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182580","elementSpec","epilogue",,,"epilogue",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182581","elementSpec","performance",,,"performance",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182582","elementSpec","castList",,,"castList",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182583","elementSpec","castGroup",,,"castGroup",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182584","elementSpec","castItem",,,"castItem",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182585","elementSpec","role",,,"role",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182586","elementSpec","roleDesc",,,"roleDesc",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182587","elementSpec","actor",,,"actor",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182588","elementSpec","spGrp",,,"spGrp",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182589","elementSpec","move",,,"move",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182590","elementSpec","view",,,"view",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182591","elementSpec","camera",,,"camera",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182592","elementSpec","sound",,,"sound",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182593","elementSpec","caption",,,"caption",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182594","elementSpec","tech",,,"tech",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182595","elementSpec","scriptStmt",,,"scriptStmt",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182596","elementSpec","recordingStmt",,,"recordingStmt",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182597","elementSpec","recording",,,"recording",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182598","elementSpec","equipment",,,"equipment",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182599","elementSpec","broadcast",,,"broadcast",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182600","elementSpec","transcriptionDesc",,,"transcriptionDesc",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182601","elementSpec","u",,,"u",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182602","elementSpec","pause",,,"pause",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182603","elementSpec","vocal",,,"vocal",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182604","elementSpec","kinesic",,,"kinesic",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182605","elementSpec","incident",,,"incident",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182606","elementSpec","writing",,,"writing",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182607","elementSpec","shift",,,"shift",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182608","elementSpec","annotationBlock",,,"annotationBlock",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182609","elementSpec","post",,,"post",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182610","elementSpec","superEntry",,,"superEntry",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182611","elementSpec","entry",,,"entry",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182612","elementSpec","entryFree",,,"entryFree",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182613","elementSpec","hom",,,"hom",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182614","elementSpec","sense",,,"sense",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182615","elementSpec","dictScrap",,,"dictScrap",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182616","elementSpec","form",,,"form",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182617","elementSpec","orth",,,"orth",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182618","elementSpec","pron",,,"pron",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182619","elementSpec","hyph",,,"hyph",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182620","elementSpec","syll",,,"syll",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182621","elementSpec","stress",,,"stress",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182622","elementSpec","gram",,,"gram",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182623","elementSpec","gen",,,"gen",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182624","elementSpec","number",,,"number",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182625","elementSpec","case",,,"case",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182626","elementSpec","per",,,"per",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182627","elementSpec","tns",,,"tns",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182628","elementSpec","mood",,,"mood",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182629","elementSpec","iType",,,"iType",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182630","elementSpec","gramGrp",,,"gramGrp",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182631","elementSpec","pos",,,"pos",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182632","elementSpec","subc",,,"subc",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182633","elementSpec","colloc",,,"colloc",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182634","elementSpec","def",,,"def",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182635","elementSpec","etym",,,"etym",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182636","elementSpec","lang",,,"lang",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182637","elementSpec","usg",,,"usg",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182638","elementSpec","lbl",,,"lbl",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182639","elementSpec","xr",,,"xr",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182640","elementSpec","re",,,"re",,
